
slabel,plabel,v
香港和澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/P[1]/text()[1],'',22))/range-to(string-range(//BODY/P[1]/text()[1],'',27)))"
香港,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2275#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
香港,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',4)))"
香港,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17828#xpointer(start-point(string-range(//BODY/TABLE[4]/TBODY[1]/TR[10]/TD[4]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[4]/TBODY[1]/TR[10]/TD[4]/text()[1],'',2)))"
香港,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17930#xpointer(start-point(string-range(//BODY/P[3]/text()[1],'',27))/range-to(string-range(//BODY/P[3]/text()[1],'',29)))"
香港,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[1]/text()[1],'',2)))"
澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2275#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1],'',2)))"
澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',5))/range-to(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',7)))"
澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17828#xpointer(start-point(string-range(//BODY/TABLE[4]/TBODY[1]/TR[11]/TD[4]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[4]/TBODY[1]/TR[11]/TD[4]/text()[1],'',2)))"
澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17930#xpointer(start-point(string-range(//BODY/P[3]/text()[1],'',50))/range-to(string-range(//BODY/P[3]/text()[1],'',52)))"
澳门,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[1]/text()[1],'',3))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[1]/text()[1],'',5)))"
阿尔卑斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2242#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',85))/range-to(string-range(//BODY/P[6]/text()[1],'',91)))"
阿尔卑斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',6)))"
阿尔卑斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17791#xpointer(start-point(string-range(//BODY/TABLE[8]/TBODY[1]/TR[6]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[8]/TBODY[1]/TR[6]/TD[1]/text()[1],'',6)))"
阿尔卑斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17791#xpointer(start-point(string-range(//BODY/TABLE[7]/TBODY[1]/TR[3]/TD[2]/text()[1],'',9))/range-to(string-range(//BODY/TABLE[7]/TBODY[1]/TR[3]/TD[2]/text()[1],'',15)))"
落基山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2232#xpointer(start-point(string-range(//BODY/TABLE[6]/TBODY[1]/TR[2]/TD[4]/text()[1],'',34))/range-to(string-range(//BODY/TABLE[6]/TBODY[1]/TR[2]/TD[4]/text()[1],'',38)))"
落基山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[1]/text()[1],'',4)))"
安第斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2232#xpointer(start-point(string-range(//BODY/TABLE[6]/TBODY[1]/TR[2]/TD[4]/text()[1],'',39))/range-to(string-range(//BODY/TABLE[6]/TBODY[1]/TR[2]/TD[4]/text()[1],'',44)))"
安第斯山脉,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',5)))"
我国铁路分布的东西差异,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17882#xpointer(start-point(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',13)))"
火山地震带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/P[17]/text()[1],'',27))/range-to(string-range(//BODY/P[17]/text()[1],'',32)))"
环太平洋地带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/P[18]/text()[1],'',8))/range-to(string-range(//BODY/P[18]/text()[1],'',14)))"
地中海－喜马拉雅地带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17704#xpointer(start-point(string-range(//BODY/P[18]/text()[1],'',17))/range-to(string-range(//BODY/P[18]/text()[1],'',27)))"
牧羊带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17803#xpointer(start-point(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',7))/range-to(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',10)))"
铁路枢纽,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17882#xpointer(start-point(string-range(//BODY/P[15]/text()[1],'',6))/range-to(string-range(//BODY/P[15]/text()[1],'',10)))"
铁路,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2167#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
铁路,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17882#xpointer(start-point(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[2]/SPAN[1]/text()[1],'',4)))"
铁路,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17882#xpointer(start-point(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',4))/range-to(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',6)))"
铁路,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17882#xpointer(start-point(string-range(//BODY/P[15]/text()[1],'',6))/range-to(string-range(//BODY/P[15]/text()[1],'',8)))"
白种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[4]/text()[1],'',16))/range-to(string-range(//BODY/P[4]/text()[1],'',19)))"
白种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17731#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1],'',3)))"
黄种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[4]/text()[1],'',12))/range-to(string-range(//BODY/P[4]/text()[1],'',15)))"
黄种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17731#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[1]/text()[1],'',3)))"
黑种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[4]/text()[1],'',20))/range-to(string-range(//BODY/P[4]/text()[1],'',23)))"
黑种人,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17731#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[5]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[5]/TD[1]/text()[1],'',3)))"
人种,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',5))/range-to(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',7)))"
人种,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17731#xpointer(start-point(string-range(//BODY/H5[1]/text()[1],'',7))/range-to(string-range(//BODY/H5[1]/text()[1],'',9)))"
人种,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17731#xpointer(start-point(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',4)))"
羊、牛与经济作物混合经营带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17803#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[2]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[2]/text()[1],'',13)))"
绵羊与小麦混合经营带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17803#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',10)))"
粗放牧羊带,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17803#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[4]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[4]/text()[1],'',5)))"
汉语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
汉语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17735#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
法语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[5]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[5]/TD[1]/text()[1],'',2)))"
法语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17735#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',2)))"
俄语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[4]/TD[1]/text()[1],'',2)))"
俄语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17735#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[5]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[5]/TD[1]/text()[1],'',2)))"
西班牙语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[6]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[6]/TD[1]/text()[1],'',4)))"
西班牙语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17735#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[6]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[6]/TD[1]/text()[1],'',4)))"
葡萄牙语,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17735#xpointer(start-point(string-range(//BODY/P[7]/text()[1],'',25))/range-to(string-range(//BODY/P[7]/text()[1],'',29)))"
港澳与祖国内地的密切经济联系,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17931#xpointer(start-point(string-range(//BODY/P[19]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[19]/SPAN[1]/text()[1],'',16)))"
宗教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/H5[1]/text()[1],'',8))/range-to(string-range(//BODY/H5[1]/text()[1],'',10)))"
宗教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',4)))"
三大宗教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[3]/SPAN[1]/text()[1],'',6)))"
耶稣,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[2]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[2]/text()[1],'',2)))"
穆罕默德,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[3]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[3]/text()[1],'',4)))"
释迦牟尼,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[4]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[4]/TD[4]/text()[1],'',4)))"
教徒,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[2]/text()[1],'',95))/range-to(string-range(//BODY/P[2]/text()[1],'',97)))"
佛教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/TABLE[4]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[4]/TBODY[1]/TR[4]/TD[1]/text()[1],'',2)))"
佛教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[4]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[4]/text()[1],'',2)))"
佛教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',20))/range-to(string-range(//BODY/P[6]/text()[1],'',22)))"
道教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',46))/range-to(string-range(//BODY/P[6]/text()[1],'',48)))"
喇嘛教,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',85))/range-to(string-range(//BODY/P[6]/text()[1],'',88)))"
汉族,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',38))/range-to(string-range(//BODY/P[6]/text()[1],'',40)))"
回族,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2259#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[10]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[10]/TD[1]/text()[1],'',2)))"
回族,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17736#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',66))/range-to(string-range(//BODY/P[6]/text()[1],'',68)))"
回族,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17837#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[5]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[5]/TD[1]/text()[1],'',2)))"
回族,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17838#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[1]/text()[1],'',2)))"
国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',4)))"
地区,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',5))/range-to(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',7)))"
丹麦,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[4]/text()[1],'',50))/range-to(string-range(//BODY/P[4]/text()[1],'',52)))"
梵蒂冈,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1],'',16))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1],'',19)))"
梵蒂冈,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17793#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[2]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[2]/TD[1]/text()[1],'',3)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2229#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',5)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2229#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',5)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[10]/SPAN[1]/text()[1],'',7))/range-to(string-range(//BODY/P[10]/SPAN[1]/text()[1],'',12)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[10]/SPAN[1]/text()[1],'',7))/range-to(string-range(//BODY/P[10]/SPAN[1]/text()[1],'',12)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2138#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',5)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2138#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[1]/TD[3]/STRONG[1]/text()[1],'',5)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[15]/SPAN[1]/text()[1],'',7))/range-to(string-range(//BODY/P[15]/SPAN[1]/text()[1],'',12)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[15]/SPAN[1]/text()[1],'',7))/range-to(string-range(//BODY/P[15]/SPAN[1]/text()[1],'',12)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17745#xpointer(start-point(string-range(//BODY/P[11]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[11]/SPAN[1]/text()[1],'',7)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17745#xpointer(start-point(string-range(//BODY/P[11]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[11]/SPAN[1]/text()[1],'',7)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',5)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[1]/TD[3]/text()[1],'',5)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',1))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',1))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[1]/text()[1],'',2)))"
发展中国家,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[2]/text()[1],'',1))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[2]/text()[1],'',6)))"
南,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17744#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[2]/text()[1],'',1))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[2]/TD[2]/text()[1],'',6)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2235#xpointer(start-point(string-range(//BODY/P[2]/text()[1],'',55))/range-to(string-range(//BODY/P[2]/text()[1],'',57)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2259#xpointer(start-point(string-range(//BODY/P[7]/text()[1],'',16))/range-to(string-range(//BODY/P[7]/text()[1],'',18)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17826#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[3]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[3]/TD[1]/text()[1],'',2)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17827#xpointer(start-point(string-range(//BODY/TABLE[4]/TBODY[1]/TR[6]/TD[2]/text()[1],'',9))/range-to(string-range(//BODY/TABLE[4]/TBODY[1]/TR[6]/TD[2]/text()[1],'',11)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17702#xpointer(start-point(string-range(//BODY/P[13]/text()[1],'',6))/range-to(string-range(//BODY/P[13]/text()[1],'',8)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1],'',4))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1],'',6)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17749#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1],'',12))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1],'',14)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17758#xpointer(start-point(string-range(//BODY/P[3]/text()[1],'',0))/range-to(string-range(//BODY/P[3]/text()[1],'',2)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17759#xpointer(start-point(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',2))/range-to(string-range(//BODY/P[1]/SPAN[1]/text()[1],'',4)))"
日本,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17760#xpointer(start-point(string-range(//BODY/P[2]/text()[1],'',0))/range-to(string-range(//BODY/P[2]/text()[1],'',2)))"
内陆国,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17749#xpointer(start-point(string-range(//BODY/P[7]/text()[1],'',11))/range-to(string-range(//BODY/P[7]/text()[1],'',14)))"
内陆国,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17764#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[2]/text()[1],'',2))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[3]/TD[2]/text()[1],'',5)))"
希腊,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[8]/text()[1],'',17))/range-to(string-range(//BODY/P[8]/text()[1],'',19)))"
希腊,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17793#xpointer(start-point(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[2]/TBODY[1]/TR[4]/TD[1]/text()[1],'',2)))"
哈萨克斯坦,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/2259#xpointer(start-point(string-range(//BODY/P[6]/text()[1],'',21))/range-to(string-range(//BODY/P[6]/text()[1],'',26)))"
哈萨克斯坦,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17827#xpointer(start-point(string-range(//BODY/TABLE[3]/TBODY[1]/TR[4]/TD[2]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[3]/TBODY[1]/TR[4]/TD[2]/text()[1],'',5)))"
哈萨克斯坦,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17743#xpointer(start-point(string-range(//BODY/P[8]/text()[1],'',20))/range-to(string-range(//BODY/P[8]/text()[1],'',25)))"
哈萨克斯坦,出处,"http://kb.cs.tsinghua.edu.cn/apibztask/label/17749#xpointer(start-point(string-range(//BODY/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1],'',0))/range-to(string-range(//BODY/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1],'',5)))"
